question,entity,easting,northing,wikipedia,const
https://id.parliament.uk/ZcJBCxf3,Dulwich,533671.670531727,173608.682939607,https://en.wikipedia.org/wiki/Dulwich,Dulwich and West Norwood
https://id.parliament.uk/ZcJBCxf3,West_Norwood,532499.946387663,171499.97491085,https://en.wikipedia.org/wiki/West_Norwood,Dulwich and West Norwood
https://id.parliament.uk/ieNjCtzd,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/ieNjCtzd,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/nm9Wxluz,Dulwich,533671.670531727,173608.682939607,https://en.wikipedia.org/wiki/Dulwich,Dulwich and West Norwood
https://id.parliament.uk/nm9Wxluz,West_Norwood,532499.946387663,171499.97491085,https://en.wikipedia.org/wiki/West_Norwood,Dulwich and West Norwood
https://id.parliament.uk/AsXOepk5,Dulwich,533671.670531727,173608.682939607,https://en.wikipedia.org/wiki/Dulwich,Dulwich and West Norwood
https://id.parliament.uk/AsXOepk5,West_Norwood,532499.946387663,171499.97491085,https://en.wikipedia.org/wiki/West_Norwood,Dulwich and West Norwood
https://id.parliament.uk/P5dO4Gc3,Royal_College_of_Nursing,528755.991269478,181319.574193111,https://en.wikipedia.org/wiki/Royal_College_of_Nursing,Cities of London and Westminster
https://id.parliament.uk/2pepXMtl,Manchester,383819.201830749,398108.113968733,https://en.wikipedia.org/wiki/Manchester,Manchester Central
https://id.parliament.uk/qWx6FhWD,South_Yorkshire,444320.129741449,400573.600195557,https://en.wikipedia.org/wiki/South_Yorkshire,Wentworth and Dearne
https://id.parliament.uk/vTTYInMU,11_Downing_Street,530051.23676842,179935.120979539,https://en.wikipedia.org/wiki/11_Downing_Street,Cities of London and Westminster
https://id.parliament.uk/1OpPfUHU,Glasgow_Airport,247865.108175857,666985.398398527,https://en.wikipedia.org/wiki/Glasgow_Airport,Paisley and Renfrewshire North
https://id.parliament.uk/b5oL1k3w,Heathrow_Airport,506948.679309921,176515.601848324,https://en.wikipedia.org/wiki/Heathrow_Airport,Hayes and Harlington
https://id.parliament.uk/RaIAkgzo,Hillsborough_Stadium,433296.703094599,390624.702294001,https://en.wikipedia.org/wiki/Hillsborough_Stadium,Sheffield Brightside and Hillsborough
https://id.parliament.uk/RaIAkgzo,Hillsborough_Stadium,433296.703094599,390624.702294001,https://en.wikipedia.org/wiki/Hillsborough_Stadium,Sheffield Brightside and Hillsborough
https://id.parliament.uk/CoK3S4Ou,RAF_Northolt,509757.017370192,184981.637261925,https://en.wikipedia.org/wiki/RAF_Northolt,Uxbridge and South Ruislip
https://id.parliament.uk/sKmMqHM5,Broxbourne_(UK_Parliament_constituency),533622.709650056,204997.368162605,https://en.wikipedia.org/wiki/Broxbourne_(UK_Parliament_constituency),Broxbourne
https://id.parliament.uk/Blv6YfQt,Ashridge,499436.194585939,212198.282917003,https://en.wikipedia.org/wiki/Ashridge,Hemel Hempstead
https://id.parliament.uk/EPyD4zL2,Newcastle_upon_Tyne,425058.859830992,565113.403916087,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,Newcastle upon Tyne East
https://id.parliament.uk/xssNuqYb,Heathrow_Airport,506948.679309921,176515.601848324,https://en.wikipedia.org/wiki/Heathrow_Airport,Hayes and Harlington
https://id.parliament.uk/xssNuqYb,Heathrow_Airport,506948.679309921,176515.601848324,https://en.wikipedia.org/wiki/Heathrow_Airport,Hayes and Harlington
https://id.parliament.uk/ZC2fxsMG,University_of_Kent,614053.319194121,159792.162185475,https://en.wikipedia.org/wiki/University_of_Kent,Canterbury
https://id.parliament.uk/TbKCynv1,Hillsborough_Stadium,433296.703094599,390624.702294001,https://en.wikipedia.org/wiki/Hillsborough_Stadium,Sheffield Brightside and Hillsborough
https://id.parliament.uk/YU1hCBqw,Scunthorpe,489462.775847661,410214.291843763,https://en.wikipedia.org/wiki/Scunthorpe,Scunthorpe
https://id.parliament.uk/YU1hCBqw,Port_Talbot,275500.148989507,189499.608433673,https://en.wikipedia.org/wiki/Port_Talbot,Aberavon
https://id.parliament.uk/fd6a7Q2d,Chipping_Barnet,524664.103781858,195490.080869963,https://en.wikipedia.org/wiki/Chipping_Barnet,Chipping Barnet
https://id.parliament.uk/nGRSsnLs,Newcastle_upon_Tyne,425058.859830992,565113.403916087,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,Newcastle upon Tyne East
https://id.parliament.uk/nGRSsnLs,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England,Hexham
https://id.parliament.uk/ns6O3pGc,Bristol,358579.3512843,172906.059766189,https://en.wikipedia.org/wiki/Bristol,Bristol West
https://id.parliament.uk/ns6O3pGc,North_Somerset,344431.578413165,165965.959606042,https://en.wikipedia.org/wiki/North_Somerset,North Somerset
https://id.parliament.uk/ns6O3pGc,South_Gloucestershire,373706.922491991,175628.81206624,https://en.wikipedia.org/wiki/South_Gloucestershire,Thornbury and Yate
https://id.parliament.uk/WJlxZmvB,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York,York Central
https://id.parliament.uk/WJlxZmvB,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York,York Central
https://id.parliament.uk/ygRWxYc1,Battersea,527620.93376289,176157.441008094,https://en.wikipedia.org/wiki/Battersea,Battersea
https://id.parliament.uk/C46XpZt9,Great_Yarmouth,652584.543358825,307443.769078853,https://en.wikipedia.org/wiki/Great_Yarmouth,Great Yarmouth
https://id.parliament.uk/C46XpZt9,Norfolk,599550.095133347,312394.12558793,https://en.wikipedia.org/wiki/Norfolk,Mid Norfolk
https://id.parliament.uk/r49J8D34,Springfield_University_Hospital,526833.036904244,172632.674879754,https://en.wikipedia.org/wiki/Springfield_University_Hospital,Tooting
