,question,entity,easting,northing,wikipedia
0,https://id.parliament.uk/pzJPt4rs,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England
1,https://id.parliament.uk/sya5xNHH,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
2,https://id.parliament.uk/JEKc0qbC,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
3,https://id.parliament.uk/Vdw9pvEp,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
4,https://id.parliament.uk/WOwk0Zha,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
5,https://id.parliament.uk/WOwk0Zha,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
6,https://id.parliament.uk/6tCLkTii,Metropolitan_Borough_of_Sefton,333810.934832328,394711.981056648,https://en.wikipedia.org/wiki/Metropolitan_Borough_of_Sefton
7,https://id.parliament.uk/NLdtTekY,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
8,https://id.parliament.uk/wLtz4pEf,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
9,https://id.parliament.uk/YVkcQhVk,HM_Prison_Cardiff,318964.754873213,176442.564057522,https://en.wikipedia.org/wiki/HM_Prison_Cardiff
10,https://id.parliament.uk/S2bpN6Nj,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
11,https://id.parliament.uk/dRBt5ist,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
12,https://id.parliament.uk/nfUVDnQO,Liverpool_Walton_(UK_Parliament_constituency),335872.893721167,394906.107310777,https://en.wikipedia.org/wiki/Liverpool_Walton_(UK_Parliament_constituency)
13,https://id.parliament.uk/rHR4Eih8,Elgin_Marbles,529960.484804444,181691.409439625,https://en.wikipedia.org/wiki/Elgin_Marbles
14,https://id.parliament.uk/Tjxw4lXu,Longbridge,401525.966077966,277442.476378251,https://en.wikipedia.org/wiki/Longbridge
15,https://id.parliament.uk/Tjxw4lXu,The_Oval,530985.123428546,177757.498370907,https://en.wikipedia.org/wiki/The_Oval
16,https://id.parliament.uk/D93vXbGT,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
17,https://id.parliament.uk/Wm7llSgg,HM_Treasury,530040.731278165,179745.509299765,https://en.wikipedia.org/wiki/HM_Treasury
18,https://id.parliament.uk/IJMpecix,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
19,https://id.parliament.uk/wWAICuFt,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
20,https://id.parliament.uk/pqti4ymP,British_Museum,530053.834094035,181720.99839143,https://en.wikipedia.org/wiki/British_Museum
21,https://id.parliament.uk/pqti4ymP,Elgin_Marbles,529960.484804444,181691.409439625,https://en.wikipedia.org/wiki/Elgin_Marbles
22,https://id.parliament.uk/yfJAHaar,South_West_England,314414.736204535,118550.489128277,https://en.wikipedia.org/wiki/South_West_England
23,https://id.parliament.uk/btO7EaNU,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
24,https://id.parliament.uk/oj3IDpLi,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
25,https://id.parliament.uk/73oBafqG,Elgin_Marbles,529960.484804444,181691.409439625,https://en.wikipedia.org/wiki/Elgin_Marbles
26,https://id.parliament.uk/9MxtrHCQ,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
27,https://id.parliament.uk/J81V83uA,Broxbourne_(UK_Parliament_constituency),533622.709650056,204997.368162605,https://en.wikipedia.org/wiki/Broxbourne_(UK_Parliament_constituency)
28,https://id.parliament.uk/AyCMJNWG,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
29,https://id.parliament.uk/2FFQ04AG,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
30,https://id.parliament.uk/XbrgeBkA,Redcar,460217.981916184,525159.096313138,https://en.wikipedia.org/wiki/Redcar
31,https://id.parliament.uk/XbrgeBkA,Middlesbrough,449516.307427761,520433.908029475,https://en.wikipedia.org/wiki/Middlesbrough
32,https://id.parliament.uk/XGRKKrRL,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
33,https://id.parliament.uk/kpA8qyWr,Dartmoor,258455.285478706,76012.1758794776,https://en.wikipedia.org/wiki/Dartmoor
34,https://id.parliament.uk/ShaoUkXv,BAE_Systems,486130.134286805,153440.201249352,https://en.wikipedia.org/wiki/BAE_Systems
35,https://id.parliament.uk/1VbyL4VM,Great_Britain,400097.642679143,455996.50366397,https://en.wikipedia.org/wiki/Great_Britain
36,https://id.parliament.uk/vHqDRTum,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
37,https://id.parliament.uk/xMWHFDLD,Battersea,527620.93376289,176157.441008094,https://en.wikipedia.org/wiki/Battersea
38,https://id.parliament.uk/cL7oA1e0,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
39,https://id.parliament.uk/vk5SwFnS,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
40,https://id.parliament.uk/mAbWd41J,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
41,https://id.parliament.uk/u9LsyKDZ,Great_Britain,400097.642679143,455996.50366397,https://en.wikipedia.org/wiki/Great_Britain
42,https://id.parliament.uk/jLuwSX09,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
43,https://id.parliament.uk/xQU1vmzP,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
44,https://id.parliament.uk/c5NxYgJZ,Huddersfield,414654.452438747,416521.510993547,https://en.wikipedia.org/wiki/Huddersfield
45,https://id.parliament.uk/c5NxYgJZ,West_Yorkshire,422078.707592887,428232.624283501,https://en.wikipedia.org/wiki/West_Yorkshire
46,https://id.parliament.uk/jHJWI7Op,Kettering,486999.904148394,278000.150502415,https://en.wikipedia.org/wiki/Kettering
47,https://id.parliament.uk/jHJWI7Op,Northampton_General_Hospital,476492.814013258,260345.715536438,https://en.wikipedia.org/wiki/Northampton_General_Hospital
48,https://id.parliament.uk/tFEgdPhP,Greenwich,538980.629475681,177567.793597656,https://en.wikipedia.org/wiki/Greenwich
49,https://id.parliament.uk/tFEgdPhP,Woolwich,543329.990050675,178578.779128629,https://en.wikipedia.org/wiki/Woolwich
50,https://id.parliament.uk/w8Y13JyS,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
51,https://id.parliament.uk/LF1C6Pmv,Wirral_West_(UK_Parliament_constituency),323000.508251325,387653.844783365,https://en.wikipedia.org/wiki/Wirral_West_(UK_Parliament_constituency)
52,https://id.parliament.uk/Rt7htiSR,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
53,https://id.parliament.uk/sn9i3gsU,West_Yorkshire,422078.707592887,428232.624283501,https://en.wikipedia.org/wiki/West_Yorkshire
54,https://id.parliament.uk/AdzZJ016,Battersea,527620.93376289,176157.441008094,https://en.wikipedia.org/wiki/Battersea
55,https://id.parliament.uk/j6wkoMgz,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
56,https://id.parliament.uk/CWKBzkMy,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
57,https://id.parliament.uk/vC8i63t9,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
58,https://id.parliament.uk/vC8i63t9,Levenshulme,387677.410393287,394486.814363507,https://en.wikipedia.org/wiki/Levenshulme
59,https://id.parliament.uk/vC8i63t9,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
60,https://id.parliament.uk/vC8i63t9,Greater_Manchester,379534.990048353,400689.875569222,https://en.wikipedia.org/wiki/Greater_Manchester
61,https://id.parliament.uk/wTkGgNcp,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
62,https://id.parliament.uk/7vRdEJwo,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
