,question,entity,easting,northing,wikipedia
1056,https://id.parliament.uk/c3r3o69O,House_of_Commons_of_the_United_Kingdom,530267.582082805,179550.40181962,https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom
1057,https://id.parliament.uk/PqxneDdy,Romford,551165.066917717,188688.870861853,https://en.wikipedia.org/wiki/Romford
1058,https://id.parliament.uk/PqxneDdy,London_Borough_of_Havering,553788.98717506,185784.92535668,https://en.wikipedia.org/wiki/London_Borough_of_Havering
1059,https://id.parliament.uk/AOQzgxMj,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
1060,https://id.parliament.uk/LFCa07Yq,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
1061,https://id.parliament.uk/LFCa07Yq,Birmingham,406718.817058306,286901.644467678,https://en.wikipedia.org/wiki/Birmingham
1062,https://id.parliament.uk/LFCa07Yq,Manchester,383819.201830749,398108.113968733,https://en.wikipedia.org/wiki/Manchester
1063,https://id.parliament.uk/UlZWgDer,Gloucester,382882.69956986,218706.097213997,https://en.wikipedia.org/wiki/Gloucester
1064,https://id.parliament.uk/7cRjnYNY,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
1065,https://id.parliament.uk/NCvCzm97,St_James's_University_Hospital,431798.193797904,434747.741368708,https://en.wikipedia.org/wiki/St_James's_University_Hospital
1066,https://id.parliament.uk/NCvCzm97,Portsmouth,464413.884270061,101094.379827446,https://en.wikipedia.org/wiki/Portsmouth
1067,https://id.parliament.uk/j2qS6PMi,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
1068,https://id.parliament.uk/jsu4LVLr,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
1069,https://id.parliament.uk/b70J3Sx5,Parliament_of_the_United_Kingdom,530264.992786741,179500.878758159,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
1070,https://id.parliament.uk/f7tUbrSs,Romford,551165.066917717,188688.870861853,https://en.wikipedia.org/wiki/Romford
1071,https://id.parliament.uk/EvPGWexW,Broxbourne_(UK_Parliament_constituency),533622.709650056,204997.368162605,https://en.wikipedia.org/wiki/Broxbourne_(UK_Parliament_constituency)
1072,https://id.parliament.uk/W9p7nQwn,Cramlington_Learning_Village,426116.279178371,575869.611980715,https://en.wikipedia.org/wiki/Cramlington_Learning_Village
1073,https://id.parliament.uk/W9p7nQwn,Blyth_Valley,430515.428527785,581506.335051575,https://en.wikipedia.org/wiki/Blyth_Valley
