,question,entity,easting,northing,wikipedia
0,https://id.parliament.uk/I8GPhExr,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
1,https://id.parliament.uk/O6dOod4v,Kirklees,413269.122921808,410732.050719232,https://en.wikipedia.org/wiki/Kirklees
2,https://id.parliament.uk/O6dOod4v,West_Yorkshire,422078.707592887,428232.624283501,https://en.wikipedia.org/wiki/West_Yorkshire
3,https://id.parliament.uk/P62u1XIZ,Parliament_of_the_United_Kingdom,530264.992786741,179500.878758159,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
4,https://id.parliament.uk/P62u1XIZ,Parliament_of_the_United_Kingdom,530264.992786741,179500.878758159,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
5,https://id.parliament.uk/EaOXJrsD,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
6,https://id.parliament.uk/EaOXJrsD,Leeds,430159.438640699,433562.472685,https://en.wikipedia.org/wiki/Leeds
7,https://id.parliament.uk/91cHvq8j,Weston-super-Mare,332050.732201397,161221.987360274,https://en.wikipedia.org/wiki/Weston-super-Mare
8,https://id.parliament.uk/E1jAyEk3,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
9,https://id.parliament.uk/OZnHM4ow,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
10,https://id.parliament.uk/OZnHM4ow,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
11,https://id.parliament.uk/75QRhrIX,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
12,https://id.parliament.uk/nQVjsk4K,Bristol_South_(UK_Parliament_constituency),359364.740297397,170060.108531334,https://en.wikipedia.org/wiki/Bristol_South_(UK_Parliament_constituency)
13,https://id.parliament.uk/gORiPxWf,Feltham,510661.075696026,173490.835934284,https://en.wikipedia.org/wiki/Feltham
14,https://id.parliament.uk/gORiPxWf,Heston,512664.945686838,177495.62797663,https://en.wikipedia.org/wiki/Heston
15,https://id.parliament.uk/cbgdDTlz,Blackpool_North_railway_station,331022.137348206,436680.428109158,https://en.wikipedia.org/wiki/Blackpool_North_railway_station
16,https://id.parliament.uk/cbgdDTlz,Cleveleys,331730.907019977,443257.737631018,https://en.wikipedia.org/wiki/Cleveleys
17,https://id.parliament.uk/rj1mYEU0,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
18,https://id.parliament.uk/sK9NumyH,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
19,https://id.parliament.uk/Jb0WW1Ai,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
20,https://id.parliament.uk/cul0GWjN,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
21,https://id.parliament.uk/cul0GWjN,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
22,https://id.parliament.uk/TvGaIZIt,Parliament_of_the_United_Kingdom,530264.992786741,179500.878758159,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
23,https://id.parliament.uk/6FsQgcty,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
24,https://id.parliament.uk/6FsQgcty,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
25,https://id.parliament.uk/stFZxbxk,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
26,https://id.parliament.uk/v6OMUCZM,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
27,https://id.parliament.uk/DxK02BJd,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
28,https://id.parliament.uk/gIRKHtX4,"Kippax,_West_Yorkshire",441592.140662793,430245.138402584,"https://en.wikipedia.org/wiki/Kippax,_West_Yorkshire"
29,https://id.parliament.uk/kCXThQ8A,National_Cyber_Security_Centre_(Ireland),116782.669826722,390144.965280015,https://en.wikipedia.org/wiki/National_Cyber_Security_Centre_(Ireland)
30,https://id.parliament.uk/umL3PJ3T,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
31,https://id.parliament.uk/gAyGqMRe,Blackpool_North_railway_station,331022.137348206,436680.428109158,https://en.wikipedia.org/wiki/Blackpool_North_railway_station
32,https://id.parliament.uk/gAyGqMRe,Cleveleys,331730.907019977,443257.737631018,https://en.wikipedia.org/wiki/Cleveleys
33,https://id.parliament.uk/oPXb1Xuz,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
34,https://id.parliament.uk/TX06nw62,South_West_England,314414.736204535,118550.489128277,https://en.wikipedia.org/wiki/South_West_England
35,https://id.parliament.uk/hPaHskin,Bristol,358579.3512843,172906.059766189,https://en.wikipedia.org/wiki/Bristol
36,https://id.parliament.uk/4Y68kkci,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
37,https://id.parliament.uk/mQIJMgln,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
38,https://id.parliament.uk/JhzzdvT8,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
39,https://id.parliament.uk/JhzzdvT8,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
40,https://id.parliament.uk/UxrGTxMM,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
41,https://id.parliament.uk/GXDjBPK4,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
42,https://id.parliament.uk/umvCWwhD,Bristol,358579.3512843,172906.059766189,https://en.wikipedia.org/wiki/Bristol
43,https://id.parliament.uk/4SIgE2ls,Office_for_National_Statistics,328820.179859686,185811.595714857,https://en.wikipedia.org/wiki/Office_for_National_Statistics
