,question,entity,easting,northing,wikipedia
0,https://id.parliament.uk/dmnAotxP,Office_for_National_Statistics,328820.179859686,185811.595714857,https://en.wikipedia.org/wiki/Office_for_National_Statistics
1,https://id.parliament.uk/wne3Q3kQ,West_Midlands_(region),382689.369763617,286801.459728324,https://en.wikipedia.org/wiki/West_Midlands_(region)
2,https://id.parliament.uk/Q0uNVDhz,Slough,498082.779241162,179773.798368362,https://en.wikipedia.org/wiki/Slough
3,https://id.parliament.uk/5utw5sA0,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
4,https://id.parliament.uk/oHeIeP9G,River_Tees,455114.463816201,528466.39069193,https://en.wikipedia.org/wiki/River_Tees
5,https://id.parliament.uk/W7K6780e,Hounslow,512974.190267233,175455.283371097,https://en.wikipedia.org/wiki/Hounslow
6,https://id.parliament.uk/e9R3Yc8s,Buckingham_(UK_Parliament_constituency),469572.352086751,233989.735821984,https://en.wikipedia.org/wiki/Buckingham_(UK_Parliament_constituency)
7,https://id.parliament.uk/e9R3Yc8s,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
8,https://id.parliament.uk/nICBNPdP,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
9,https://id.parliament.uk/nICBNPdP,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull
10,https://id.parliament.uk/nICBNPdP,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull
11,https://id.parliament.uk/24ipsGoN,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
12,https://id.parliament.uk/6MW5a7w0,Charing_Cross,530046.376257163,180369.418764533,https://en.wikipedia.org/wiki/Charing_Cross
13,https://id.parliament.uk/lMo0r5Ry,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
14,https://id.parliament.uk/DHTvSDXM,Liverpool_Walton_(UK_Parliament_constituency),335872.893721167,394906.107310777,https://en.wikipedia.org/wiki/Liverpool_Walton_(UK_Parliament_constituency)
15,https://id.parliament.uk/GeTPp9Fi,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
16,https://id.parliament.uk/ZsCeYrV1,Feltham,510661.075696026,173490.835934284,https://en.wikipedia.org/wiki/Feltham
17,https://id.parliament.uk/ZsCeYrV1,Heston,512664.945686838,177495.62797663,https://en.wikipedia.org/wiki/Heston
18,https://id.parliament.uk/UdRgo7o3,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
19,https://id.parliament.uk/ixtKWKQU,Dulwich,533671.670531727,173608.682939607,https://en.wikipedia.org/wiki/Dulwich
20,https://id.parliament.uk/ixtKWKQU,West_Norwood,532499.946387663,171499.97491085,https://en.wikipedia.org/wiki/West_Norwood
21,https://id.parliament.uk/fYtgQXkc,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
22,https://id.parliament.uk/geYqgbHj,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York
